agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
BUS,C133-V1,3,C133-V1,"Troncal C133-V1 - 184 ""Bosque Real Santa Anita""",,,4C8D2B,FFFFFF,,,
BUS,C133-V2,3,C133-V2,"Troncal C133-V2 - 184 ""Outlet""",,,4C8D2B,FFFFFF,,,
BUS,C134,3,C134,"Troncal C134 - 185 ""Los Ocotes""",,,4C8D2B,FFFFFF,,,
BUS,C135,3,C135,Jardines de Santa Ana - Fraccionamiento Rincon del Valle,,,4C8D2B,FFFFFF,,,
BUS,C136,3,C136,Valle de la Providencia - Plaza Patria,,,4C8D2B,FFFFFF,,,
BUS,C138,3,C138,Lomas de Independencia - San Juan de Dios,,,4C8D2B,FFFFFF,,,
BUS,C13-V1,3,C13-V1,"Troncal C13-V1 - 45 ""Alamedas""",,,4C8D2B,FFFFFF,,,
BUS,C13-V2,3,C13-V2,"Troncal C13-V2 - 45 ""Jalisco - Panteon""",,,4C8D2B,FFFFFF,,,
BUS,C13-V3,3,C13-V3,"Troncal C13-V3 - 45 ""Jalisco - Tetlan""",,,4C8D2B,FFFFFF,,,
BUS,C14-V1,3,C14-V1,Troncal C14-V1 - 175A,,,4C8D2B,FFFFFF,,,
BUS,C14-V2,3,C14-V2,"Troncal C14-V2 - 175A ""Lomas de Tejeda""",,,4C8D2B,FFFFFF,,,
BUS,C15,3,C15,"Troncal C15 - 54A ""Abastos""",,,4C8D2B,FFFFFF,,,
BUS,C16,3,C16,"Troncal C16 - 602 ""Legalidad""",,,4C8D2B,FFFFFF,,,
BUS,C17,3,C17,Troncal C17 - 214,,,4C8D2B,FFFFFF,,,
BUS,C18,3,C18,Troncal C18 - 258,,,4C8D2B,FFFFFF,,,
BUS,C19,3,C19,Troncal C19 - 330A,,,4C8D2B,FFFFFF,,,
BUS,C20-V1,3,C20-V1,"Troncal C20-V1 - 333 ""Alamo""",,,4C8D2B,FFFFFF,,,
BUS,C20-V2,3,C20-V2,"Troncal C20-V2 - 333 ""Corta""",,,4C8D2B,FFFFFF,,,
BUS,C21,3,C21,"Troncal C21 - 602 ""Soriana""",,,4C8D2B,FFFFFF,,,
BUS,C22,3,C22,"Troncal C22 - 603A ""Villas""",,,4C8D2B,FFFFFF,,,
BUS,C23,3,C23,Troncal C23 - 603B,,,4C8D2B,FFFFFF,,,
BUS,C25,3,C25,"Troncal C25 - 175 ""Roca""",,,4C8D2B,FFFFFF,,,
BUS,C26,3,C26,"Troncal C26 - 45 ""CG""",,,4C8D2B,FFFFFF,,,
BUS,C27,3,C27,Troncal C27 - 605,,,4C8D2B,FFFFFF,,,
BUS,C28,3,C28,Troncal C28 - 608,,,4C8D2B,FFFFFF,,,
BUS,C29-V1,3,C29-V1,Troncal C29-V1 - 610,,,4C8D2B,FFFFFF,,,
BUS,C29-V2,3,C29-V2,Troncal C29-V2 - 610A,,,4C8D2B,FFFFFF,,,
BUS,C30,3,C30,Troncal C30 - 611,,,4C8D2B,FFFFFF,,,
BUS,C31,3,C31,Troncal C31 - 616,,,4C8D2B,FFFFFF,,,
BUS,C32-V1,3,C32-V1,Troncal C32-V1 - 639,,,4C8D2B,FFFFFF,,,
BUS,C32-V2,3,C32-V2,Troncal C32-V2 - 639A,,,4C8D2B,FFFFFF,,,
BUS,C33,3,C33,"Troncal C33 - 142 ""San Jorge""",,,4C8D2B,FFFFFF,,,
BUS,C34,3,C34,"Troncal C34 - 51 ""Educadores""",,,4C8D2B,FFFFFF,,,
BUS,C35,3,C35,"Troncal C35 - 51 ""Vado""",,,4C8D2B,FFFFFF,,,
